sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 I'm not sure if it's because I've never seen anything like this before, he tells me as we sit down at his kitchen table and take our sandwiches out of my handbag for him (he doesn't even have one). We're talking about an old-school sandwich that was made by someone who had been working with us all along—a guy named John McPherson whose name is spelled differently than mine but still looks pretty darn good when you look closely enough.) 	 I'm not sure if it's because I've never seen anything like this before, he tells me as we sit down at his kitchen table and take our sandwiches out of my handbag for him (he doesn't even have one). We're talking about an old-school sandwich that was made by someone who had been working with us all along—a guy named John McPherson whose name is spelled differently than mine but still looks pretty darn good when you look closely enough.) 
The stool is about to fall over, so he’s probably going to fall on the floor.	 I don't know if that's a good idea or not. What do you mean? she asked with an exasperated look in her eyes as they looked at each other for what seemed like hours before finally settling back into their seats and sitting up straight again without looking away from them all night until it was too late... I think we should just leave him alone	 I don't know if that's a good idea or not. What do you mean? she asked with an exasperated look in her eyes as they looked at each other for what seemed like hours before finally settling back into their seats and sitting up straight again without looking away from them all night until it was too late... I think we should just leave him alone
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 I don't know what you're talking about, he says with an exasperated look on his face that makes me feel like I'm not even trying at all... but it's true! He has no idea how long this will take until we get home from work tomorrow morning (or maybe later), or when they'll see each other again in their own little room together after school? It would have been so much more fun than just sitting around watching them play video games while my mom watches over our heads every single day without any real thought being put into making sure things are going smoothly before getting back out there next week :)	 I don't know what you're talking about, he says with an exasperated look on his face that makes me feel like I'm not even trying at all... but it's true! He has no idea how long this will take until we get home from work tomorrow morning (or maybe later), or when they'll see each other again in their own little room together after school? It would have been so much more fun than just sitting around watching them play video games while my mom watches over our heads every single day without any real thought being put into making sure things are going smoothly before getting back out there next week :)
Meanwhile their mother is taking no notice.	 I don't know what's going on, she says, as if to say that her daughter has been taken away from them by someone who knows nothing about the situation and cannot understand why they are being held in such a place. What do you mean	 I don't know what's going on, she says, as if to say that her daughter has been taken away from them by someone who knows nothing about the situation and cannot understand why they are being held in such a place. What do you mean
She’s been doing the washing up and is now drying a plate.	 I'm not sure what to do about it, but if you're looking for something that can be done in less than an hour or two (or even longer), then this should work out pretty much as well!	 I'm not sure what to do about it, but if you're looking for something that can be done in less than an hour or two (or even longer), then this should work out pretty much as well!
She has left the tap running and the sink is overflowing.	 I'm not sure how long it will take for her to get out of there, but she'll probably be back in a few hours or so before we're done with this whole thing.	 I'm not sure how long it will take for her to get out of there, but she'll probably be back in a few hours or so before we're done with this whole thing.
There is a big puddle on the floor, and she’s standing in it.	 She looks up at me as if to say: I'm sorry I didn't know you were here. And that's what we're talking about right now—the fact of her being there for so long has made my heart ache even more intense than before! It feels like an eternity away from home	 She looks up at me as if to say: I'm sorry I didn't know you were here. And that's what we're talking about right now—the fact of her being there for so long has made my heart ache even more intense than before! It feels like an eternity away from home
She seems not to have noticed either the water or what her children are doing.	 I don't know, she says, but I've never seen anything like it.	 I don't know, she says, but I've never seen anything like it.
She might be looking out of the window, which is open and looks out on the garden.	 It's a nice place to spend some time with your family or friends as they go about their daily lives.	 It's a nice place to spend some time with your family or friends as they go about their daily lives.
You can see a path and another part of the house and the lawn, flowers, and a tree in the garden.	 It's not like you're going to be there all day.	 It's not like you're going to be there all day.
It seems to be summer, as she is wearing a short sleeved dress under her apron.	 It's not the first time that I've seen this kind of outfit in my life and it was definitely something special for me.	 It's not the first time that I've seen this kind of outfit in my life and it was definitely something special for me.
Her son is wearing shorts a shirt and shoes and socks, which are also falling down.	 He says he has no idea what's going on with his daughter because she doesn't want him to be in the same room as her father.I'm not sure if I'll ever get over it, said Mr D'Souza when contacted by Fairfax Media for this story last week after being told that there was no evidence of foul play.He added: [The] police have been very clear they're investigating	 He says he has no idea what's going on with his daughter because she doesn't want him to be in the same room as her father.I'm not sure if I'll ever get over it, said Mr D'Souza when contacted by Fairfax Media for this story last week after being told that there was no evidence of foul play.He added: [The] police have been very clear they're investigating
Her daughter is wearing a short skirt and T-shirt.	 I don't know what to do with her, she said, adding that it would be nice if they could talk about the incident in person or on social media.	 I don't know what to do with her, she said, adding that it would be nice if they could talk about the incident in person or on social media.
There are lots of cupboards all around the kitchen.	 It's a great place to hang out with friends and family.	 It's a great place to hang out with friends and family.
There are two cups on the draining board.	 If you want to use one of those, just add a little more water and let it sit for about 10 minutes or so before adding in another cup (you can do this with any other method). I also added some fresh lemon juice as well because that's	 If you want to use one of those, just add a little more water and let it sit for about 10 minutes or so before adding in another cup (you can do this with any other method). I also added some fresh lemon juice as well because that's
