sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not sure what to do with them, he said, adding that his wife was very upset about her husband's actions.I don't know why they did it but there is a lot of anger at him for doing something like this which has been going on all these years without any action being taken by	 I'm not sure what to do with them, he said, adding that his wife was very upset about her husband's actions.I don't know why they did it but there is a lot of anger at him for doing something like this which has been going on all these years without any action being taken by
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 I'm so glad you're here, he says as we sit down at his dining room table with our plates and appetizers ready for him. I don't know if it's true or not but this is my first time ever eating food that was prepared by someone who knows what they are talking about! You have no idea how much of an influence your mother had over me when she got back home after all these years! She never told us where her money went until now	 I'm so glad you're here, he says as we sit down at his dining room table with our plates and appetizers ready for him. I don't know if it's true or not but this is my first time ever eating food that was prepared by someone who knows what they are talking about! You have no idea how much of an influence your mother had over me when she got back home after all these years! She never told us where her money went until now
The stool is about to fall over, so he’s probably going to fall on the floor.	 I don't know if that's a good idea or not. What do you mean? she asked with an annoyed look in her eyes and then looked back at him as though it had been some sort of joke: I'm sorry for interrupting your conversation but we're just talking here because there are no other guests coming into our room right now! We'll	 I don't know if that's a good idea or not. What do you mean? she asked with an annoyed look in her eyes and then looked back at him as though it had been some sort of joke: I'm sorry for interrupting your conversation but we're just talking here because there are no other guests coming into our room right now! We'll
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 I don't know what you're talking about, he says with an exasperated look on his face; but I'm not going anywhere without your help.	 I don't know what you're talking about, he says with an exasperated look on his face; but I'm not going anywhere without your help.
Meanwhile their mother is taking no notice.	 I don't know what's going on, she says, looking at her daughter with a smirk as if to say something about the fact that they've been living together for so many years and have never met each other in person. What do you	 I don't know what's going on, she says, looking at her daughter with a smirk as if to say something about the fact that they've been living together for so many years and have never met each other in person. What do you
She’s been doing the washing up and is now drying a plate.	 I'm not sure if it's just me or something else, but we're going to have some fun with this one!	 I'm not sure if it's just me or something else, but we're going to have some fun with this one!
She has left the tap running and the sink is overflowing.	 I'm not sure how long it will take for her to get out of there, but she's already gone through so much pain that we can't even imagine what could have happened if they'd just let us in on a little bit more.	 I'm not sure how long it will take for her to get out of there, but she's already gone through so much pain that we can't even imagine what could have happened if they'd just let us in on a little bit more.
There is a big puddle on the floor, and she’s standing in it.	 She looks up at me as if to say I'm sorry, but I don't know what that means anymore. What do you mean by'sorry'? It's not like we're talking about anything other than our relationship right now or any sort of emotional connection between us—we just want	 She looks up at me as if to say I'm sorry, but I don't know what that means anymore. What do you mean by'sorry'? It's not like we're talking about anything other than our relationship right now or any sort of emotional connection between us—we just want
She seems not to have noticed either the water or what her children are doing.	 I don't know, she says, but I think it's a good thing.	 I don't know, she says, but I think it's a good thing.
She might be looking out of the window, which is open and looks out on the garden.	 I don't know if it's a good idea for her to look at me or not. What do you mean by that? she asked with an exasperated expression as he looked up from his book in frustration; I'm just saying there are some people who would rather have their children killed than see them die because they're too young! They'd better get off my lawn! He turned back	 I don't know if it's a good idea for her to look at me or not. What do you mean by that? she asked with an exasperated expression as he looked up from his book in frustration; I'm just saying there are some people who would rather have their children killed than see them die because they're too young! They'd better get off my lawn! He turned back
You can see a path and another part of the house and the lawn, flowers, and a tree in the garden.	 It's not like you're going to walk around with your head down or anything, he told The Daily Caller News Foundation via email on Monday night.I think it would be nice if we could have some kind-hearted conversation about how much time is left for people who don't know what they are doing at this point because I'm sure there will come an day when everyone knows that something has gone terribly awry.We've been through so many times before where	 It's not like you're going to walk around with your head down or anything, he told The Daily Caller News Foundation via email on Monday night.I think it would be nice if we could have some kind-hearted conversation about how much time is left for people who don't know what they are doing at this point because I'm sure there will come an day when everyone knows that something has gone terribly awry.We've been through so many times before where
It seems to be summer, as she is wearing a short sleeved dress under her apron.	 I don't know what's going on with you. She looks at me quizzically and asks if I have any questions or anything else that might help us get through the day without getting into too much of an argument about how we should handle each other in our own personal lives (we've been friends for over two years now). You're not my girlfriend, he says firmly	 I don't know what's going on with you. She looks at me quizzically and asks if I have any questions or anything else that might help us get through the day without getting into too much of an argument about how we should handle each other in our own personal lives (we've been friends for over two years now). You're not my girlfriend, he says firmly
Her son is wearing shorts a shirt and shoes and socks, which are also falling down.	 He says he has no idea what's going on in the house or how long it will take for him to get out of there. I don't know if I'll ever see my dad again, she adds with an exasperated look at her husband who looks up from his computer screen as they walk back into their living room after being told by police that they're all dead.	 He says he has no idea what's going on in the house or how long it will take for him to get out of there. I don't know if I'll ever see my dad again, she adds with an exasperated look at her husband who looks up from his computer screen as they walk back into their living room after being told by police that they're all dead.
Her daughter is wearing a short skirt and T-shirt.	 I don't know what to say, she says, looking down at her hands in the air as if they've been touched by some sort of magical force that's somehow pulling them back into their own world. What are you talking about? I ask with an incredulous look	 I don't know what to say, she says, looking down at her hands in the air as if they've been touched by some sort of magical force that's somehow pulling them back into their own world. What are you talking about? I ask with an incredulous look
There are lots of cupboards all around the kitchen.	 It's a great place to go if you're looking for something fresh and delicious, or just have some fun with your friends.	 It's a great place to go if you're looking for something fresh and delicious, or just have some fun with your friends.
There are two cups on the draining board.	 The first one is for water, but I don't think it's a good idea to put them in there because they're too small and you'll end up with some sort of leaky mess that can get into your kitchen or bathroom. The second	 The first one is for water, but I don't think it's a good idea to put them in there because they're too small and you'll end up with some sort of leaky mess that can get into your kitchen or bathroom. The second
